name,model,simulator,success_0.5m,success_0.25m,l_mpjpe_mm,vel_err_mm,accel_err_mm
stationary/reach/humanml_002551_chunk_0000,phuma,mujoco,1,1,30.48,3.168,0.815
stationary/reach/humanml_010245_chunk_0000,amass,isaacsim,1,1,46.29,3.737,0.807
stationary/reach/humanml_010245_chunk_0000,amass,mujoco,1,1,40.67,3.808,0.902
stationary/reach/humanml_010245_chunk_0000,phuma,isaacsim,1,1,40.88,3.452,0.819
stationary/reach/humanml_010245_chunk_0000,phuma,mujoco,1,1,37.93,3.395,0.846
stationary/reach/humanml_013435_chunk_0001,amass,isaacsim,1,1,22.43,1.277,0.241
stationary/reach/humanml_013435_chunk_0001,amass,mujoco,1,1,20.48,1.298,0.236
stationary/reach/humanml_013435_chunk_0001,phuma,isaacsim,1,1,24.32,1.187,0.264
stationary/reach/humanml_013435_chunk_0001,phuma,mujoco,1,1,22.37,1.054,0.249
stationary/stand/humanml_005729_chunk_0000,amass,isaacsim,1,1,20.99,1.104,0.197
stationary/stand/humanml_005729_chunk_0000,amass,mujoco,1,1,21.09,1.056,0.204
stationary/stand/humanml_005729_chunk_0000,phuma,isaacsim,1,1,21.95,0.924,0.176
stationary/stand/humanml_005729_chunk_0000,phuma,mujoco,1,1,21.47,0.908,0.172
stationary/stand/humanml_012361_chunk_0001,amass,isaacsim,1,0,25.98,3.443,0.675
stationary/stand/humanml_012361_chunk_0001,amass,mujoco,1,1,21.15,2.629,0.6
stationary/stand/humanml_012361_chunk_0001,phuma,isaacsim,1,1,25.11,2.178,0.324
stationary/stand/humanml_012361_chunk_0001,phuma,mujoco,1,1,23.96,1.801,0.306
stationary/stand/humanml_012761_chunk_0001,amass,isaacsim,1,1,27.32,2.0,0.429
stationary/stand/humanml_012761_chunk_0001,amass,mujoco,1,1,28.98,2.259,0.456
stationary/stand/humanml_012761_chunk_0001,phuma,isaacsim,1,1,34.33,2.688,0.597
stationary/stand/humanml_012761_chunk_0001,phuma,mujoco,1,0,40.81,3.65,1.004
vertical/jump/LocoMuJoCo_jumpturn_chunk_0001,amass,isaacsim,1,1,46.47,4.037,0.868
vertical/jump/LocoMuJoCo_jumpturn_chunk_0001,amass,mujoco,1,1,46.31,4.143,0.963
vertical/jump/LocoMuJoCo_jumpturn_chunk_0001,phuma,isaacsim,1,1,44.32,3.705,1.026
vertical/jump/LocoMuJoCo_jumpturn_chunk_0001,phuma,mujoco,1,1,46.84,3.977,1.093
vertical/jump/humanml_002260_chunk_0000,amass,isaacsim,1,0,29.84,4.925,1.179
vertical/jump/humanml_002260_chunk_0000,amass,mujoco,0,0,30.23,5.266,1.262
vertical/jump/humanml_002260_chunk_0000,phuma,isaacsim,1,1,28.03,3.982,0.916
vertical/jump/humanml_002260_chunk_0000,phuma,mujoco,1,1,29.14,4.013,0.954
vertical/jump/humanml_006677_chunk_0001,amass,isaacsim,0,0,83.06,15.294,2.811
vertical/jump/humanml_006677_chunk_0001,amass,mujoco,0,0,78.69,14.797,2.693
vertical/jump/humanml_006677_chunk_0001,phuma,isaacsim,0,0,82.72,16.022,4.4
vertical/jump/humanml_006677_chunk_0001,phuma,mujoco,0,0,86.25,16.139,4.164
vertical/lunge/fitness_subset_0012_Side_Lunge_Swing_clip_3_chunk_0000,amass,isaacsim,0,0,88.14,11.067,3.136
